primary_category,purpose
abuse_and_addiction_treatment,HEALTH
academic_bookstore,PURCHASE
accommodation,OTHER
accountant,OTHER
active_life,LEISURE
acupuncture,HEALTH
adult_education,STUDIES
adult_entertainment,LEISURE
adult_store,PURCHASE
advertising_agency,WORK
afghan_restaurant,LEISURE
african_restaurant,LEISURE
agricultural_cooperatives,WORK
agricultural_service,WORK
agriculture,WORK
aircraft_manufacturer,WORK
aircraft_repair,PURCHASE
airline,OTHER
airlines,OTHER
airport,OTHER
airport_lounge,OTHER
airport_shuttles,PURCHASE
airport_terminal,OTHER
alcohol_and_drug_treatment_centers,HEALTH
alternative_medicine,HEALTH
amateur_sports_league,LEISURE
amateur_sports_team,LEISURE
ambulance_and_ems_services,HEALTH
american_restaurant,LEISURE
amusement_park,LEISURE
anesthesiologist,HEALTH
anglican_church,OTHER
animal_rescue_service,OTHER
animal_shelter,OTHER
animation_studio,WORK
antique_store,PURCHASE
apartments,OTHER
appliance_manufacturer,WORK
appliance_repair_service,PURCHASE
appliance_store,PURCHASE
appraisal_services,OTHER
aquarium,LEISURE
aquatic_pet_store,PURCHASE
arabian_restaurant,LEISURE
arcade,LEISURE
archaeological_services,WORK
archery_range,LEISURE
archery_shop,PURCHASE
architectural_designer,WORK
argentine_restaurant,LEISURE
armed_forces_branch,WORK
armenian_restaurant,LEISURE
aromatherapy,HEALTH
art_gallery,LEISURE
art_museum,LEISURE
art_restoration,PURCHASE
art_restoration_service,PURCHASE
art_school,STUDIES
arts_and_crafts,OTHER
arts_and_entertainment,LEISURE
asian_art_museum,LEISURE
asian_fusion_restaurant,LEISURE
asian_restaurant,LEISURE
assisted_living_facility,OTHER
astrologer,LEISURE
atms,OTHER
attractions_and_activities,LEISURE
atv_recreation_park,LEISURE
atv_rentals_and_tours,LEISURE
auction_house,OTHER
audio_visual_equipment_store,PURCHASE
audiologist,HEALTH
auditorium,LEISURE
australian_restaurant,LEISURE
auto_body_shop,PURCHASE
auto_company,WORK
auto_customization,OTHER
auto_detailing,PURCHASE
auto_glass_service,PURCHASE
auto_loan_provider,OTHER
auto_manufacturers_and_distributors,WORK
auto_restoration_services,PURCHASE
auto_upholstery,PURCHASE
automation_services,WORK
automobile_leasing,PURCHASE
automobile_registration_service,PURCHASE
automotive,PURCHASE
automotive_consultant,WORK
automotive_dealer,PURCHASE
automotive_parts_and_accessories,OTHER
automotive_repair,PURCHASE
automotive_services_and_repair,PURCHASE
automotive_storage_facility,WORK
automotive_wheel_polishing_service,PURCHASE
aviation_museum,LEISURE
avionics_shop,PURCHASE
b2b_apparel,WORK
b2b_electronic_equipment,WORK
b2b_jewelers,WORK
b2b_science_and_technology,WORK
b2b_textiles,WORK
baby_gear_and_furniture,OTHER
badminton_court,LEISURE
bagel_shop,PURCHASE
bags_luggage_company,WORK
bakery,PURCHASE
bangladeshi_restaurant,LEISURE
bank_credit_union,OTHER
bank_equipment_service,PURCHASE
banks,OTHER
baptist_church,OTHER
bar,LEISURE
bar_and_grill_restaurant,LEISURE
barbecue_restaurant,LEISURE
barber,PURCHASE
bartender,LEISURE
bartending_school,STUDIES
baseball_field,LEISURE
baseball_stadium,LEISURE
basketball_court,LEISURE
basketball_stadium,LEISURE
basque_restaurant,LEISURE
bathroom_remodeling,PURCHASE
beach,LEISURE
beach_bar,LEISURE
beauty_and_spa,PURCHASE
beauty_product_supplier,PURCHASE
beauty_salon,PURCHASE
bed_and_breakfast,LEISURE
beer_bar,LEISURE
beer_garden,LEISURE
beer_wine_and_spirits,OTHER
belgian_restaurant,LEISURE
betting_center,LEISURE
beverage_store,PURCHASE
bicycle_shop,PURCHASE
bike_rentals,PURCHASE
bike_repair_maintenance,PURCHASE
bingo_hall,LEISURE
