primary_category,category_text,purpose,cluster_id,semantic_cluster,sleep,eatdrink,selfcare,paidwork,educatn,foodprep,cleanetc,maintain,shopserv,garden,petcare,eldcare,pkidcare,ikidcare,religion,volorgwk,commute,travel,sportex,tvradio,read,compint,goout,leisure,n_allowed_activities
auto_customization,auto customization,OTHER,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
auto_detailing,auto detailing,PURCHASE,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
auto_loan_provider,auto loan provider,OTHER,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
auto_upholstery,auto upholstery,PURCHASE,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
automobile_leasing,automobile leasing,PURCHASE,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
automotive,automotive,PURCHASE,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
automotive_consultant,automotive consultant,WORK,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
automotive_dealer,automotive dealer,PURCHASE,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
automotive_storage_facility,automotive storage facility,WORK,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
boat_dealer,boat dealer,PURCHASE,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
car_dealer,car dealer,PURCHASE,1,auto_mobility,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4
