primary_category,purpose,category_text,source,gparis_poi_tessellation,local_observed_count,cluster_id,semantic_cluster
auto_customization,OTHER,auto customization,citybehavex/category/unique_categories.csv,56,56,1,auto_mobility
auto_detailing,PURCHASE,auto detailing,citybehavex/category/unique_categories.csv,136,136,1,auto_mobility
auto_loan_provider,OTHER,auto loan provider,citybehavex/category/unique_categories.csv,2,2,1,auto_mobility
auto_upholstery,PURCHASE,auto upholstery,citybehavex/category/unique_categories.csv,1,1,1,auto_mobility
automobile_leasing,PURCHASE,automobile leasing,citybehavex/category/unique_categories.csv,16,16,1,auto_mobility
automotive,PURCHASE,automotive,citybehavex/category/unique_categories.csv,298,298,1,auto_mobility
automotive_consultant,WORK,automotive consultant,citybehavex/category/unique_categories.csv,34,34,1,auto_mobility
automotive_dealer,PURCHASE,automotive dealer,citybehavex/category/unique_categories.csv,336,336,1,auto_mobility
automotive_storage_facility,WORK,automotive storage facility,citybehavex/category/unique_categories.csv,6,6,1,auto_mobility
boat_dealer,PURCHASE,boat dealer,citybehavex/category/unique_categories.csv,12,12,1,auto_mobility
car_dealer,PURCHASE,car dealer,citybehavex/category/unique_categories.csv,2453,2453,1,auto_mobility
car_wash,PURCHASE,car wash,citybehavex/category/unique_categories.csv,309,309,1,auto_mobility
car_window_tinting,PURCHASE,car window tinting,citybehavex/category/unique_categories.csv,27,27,1,auto_mobility
cardiologist,HEALTH,cardiologist,citybehavex/category/unique_categories.csv,29,29,0,auto_mobility
career_counseling,HEALTH,career counseling,citybehavex/category/unique_categories.csv,80,80,1,auto_mobility
carpenter,PURCHASE,carpenter,citybehavex/category/unique_categories.csv,641,641,0,auto_mobility
carpet_cleaning,PURCHASE,carpet cleaning,citybehavex/category/unique_categories.csv,15,15,1,auto_mobility
child_care_and_day_care,OTHER,child care and day care,citybehavex/category/unique_categories.csv,577,577,1,auto_mobility
commercial_vehicle_dealer,PURCHASE,commercial vehicle dealer,citybehavex/category/unique_categories.csv,11,11,1,auto_mobility
department_of_motor_vehicles,OTHER,department of motor vehicles,citybehavex/category/unique_categories.csv,17,17,1,auto_mobility
mobile_home_dealer,PURCHASE,mobile home dealer,citybehavex/category/unique_categories.csv,4,4,1,auto_mobility
motorcycle_dealer,PURCHASE,motorcycle dealer,citybehavex/category/unique_categories.csv,374,374,1,auto_mobility
prenatal_perinatal_care,OTHER,prenatal perinatal care,citybehavex/category/unique_categories.csv,27,27,1,auto_mobility
retirement_home,OTHER,retirement home,citybehavex/category/unique_categories.csv,866,866,1,auto_mobility
skin_care,PURCHASE,skin care,citybehavex/category/unique_categories.csv,209,209,1,auto_mobility
truck_dealer,PURCHASE,truck dealer,citybehavex/category/unique_categories.csv,24,24,1,auto_mobility
used_car_dealer,PURCHASE,used car dealer,citybehavex/category/unique_categories.csv,182,182,1,auto_mobility
vehicle_shipping,PURCHASE,vehicle shipping,citybehavex/category/unique_categories.csv,14,14,1,auto_mobility
animal_shelter,OTHER,animal shelter,citybehavex/category/unique_categories.csv,42,42,1,care_family
divorce_and_family_law,OTHER,divorce and family law,citybehavex/category/unique_categories.csv,76,76,1,care_family
family_counselor,HEALTH,family counselor,citybehavex/category/unique_categories.csv,23,23,1,care_family
family_practice,HEALTH,family practice,citybehavex/category/unique_categories.csv,113,113,1,care_family
pet_adoption,OTHER,pet adoption,citybehavex/category/unique_categories.csv,4,4,1,care_family
pet_boarding,PURCHASE,pet boarding,citybehavex/category/unique_categories.csv,10,10,1,care_family
pet_breeder,PURCHASE,pet breeder,citybehavex/category/unique_categories.csv,75,75,1,care_family
pet_groomer,PURCHASE,pet groomer,citybehavex/category/unique_categories.csv,248,248,1,care_family
pet_sitting,PURCHASE,pet sitting,citybehavex/category/unique_categories.csv,62,62,1,care_family
pets,PURCHASE,pets,citybehavex/category/unique_categories.csv,2,2,0,care_family
adult_entertainment,LEISURE,adult entertainment,citybehavex/category/unique_categories.csv,66,66,1,culture_events
arcade,LEISURE,arcade,citybehavex/category/unique_categories.csv,64,64,0,culture_events
art_gallery,LEISURE,art gallery,citybehavex/category/unique_categories.csv,2166,2166,1,culture_events
art_museum,LEISURE,art museum,citybehavex/category/unique_categories.csv,212,212,1,culture_events
arts_and_crafts,OTHER,arts and crafts,citybehavex/category/unique_categories.csv,709,709,1,culture_events
arts_and_entertainment,LEISURE,arts and entertainment,citybehavex/category/unique_categories.csv,1349,1349,1,culture_events
asian_art_museum,LEISURE,asian art museum,citybehavex/category/unique_categories.csv,4,4,1,culture_events
auditorium,LEISURE,auditorium,citybehavex/category/unique_categories.csv,65,65,0,culture_events
automotive_parts_and_accessories,OTHER,automotive parts and accessories,citybehavex/category/unique_categories.csv,470,470,1,culture_events
aviation_museum,LEISURE,aviation museum,citybehavex/category/unique_categories.csv,2,2,1,culture_events
boat_parts_and_accessories,OTHER,boat parts and accessories,citybehavex/category/unique_categories.csv,6,6,1,culture_events
casino,LEISURE,casino,citybehavex/category/unique_categories.csv,56,56,0,culture_events
childrens_museum,LEISURE,childrens museum,citybehavex/category/unique_categories.csv,4,4,1,culture_events
cinema,LEISURE,cinema,citybehavex/category/unique_categories.csv,677,677,0,culture_events
civilization_museum,LEISURE,civilization museum,citybehavex/category/unique_categories.csv,4,4,1,culture_events
community_museum,LEISURE,community museum,citybehavex/category/unique_categories.csv,13,13,1,culture_events
computer_museum,LEISURE,computer museum,citybehavex/category/unique_categories.csv,2,2,1,culture_events
contemporary_art_museum,LEISURE,contemporary art museum,citybehavex/category/unique_categories.csv,27,27,1,culture_events
decorative_arts_museum,LEISURE,decorative arts museum,citybehavex/category/unique_categories.csv,3,3,1,culture_events
drive_in_theater,LEISURE,drive in theater,citybehavex/category/unique_categories.csv,15,15,1,culture_events
event_photography,OTHER,event photography,citybehavex/category/unique_categories.csv,979,979,1,culture_events
event_planning,PURCHASE,event planning,citybehavex/category/unique_categories.csv,2892,2892,1,culture_events
history_museum,LEISURE,history museum,citybehavex/category/unique_categories.csv,112,112,1,culture_events
modern_art_museum,LEISURE,modern art museum,citybehavex/category/unique_categories.csv,11,11,1,culture_events
movie_television_studio,WORK,movie television studio,citybehavex/category/unique_categories.csv,165,165,1,culture_events
museum,LEISURE,museum,citybehavex/category/unique_categories.csv,591,591,1,culture_events
music_production,WORK,music production,citybehavex/category/unique_categories.csv,571,571,1,culture_events
music_venue,LEISURE,music venue,citybehavex/category/unique_categories.csv,380,380,1,culture_events
party_and_event_planning,PURCHASE,party and event planning,citybehavex/category/unique_categories.csv,24,24,1,culture_events
performing_arts,LEISURE,performing arts,citybehavex/category/unique_categories.csv,184,184,1,culture_events
photography_museum,LEISURE,photography museum,citybehavex/category/unique_categories.csv,6,6,1,culture_events
science_museum,LEISURE,science museum,citybehavex/category/unique_categories.csv,15,15,1,culture_events
textile_museum,LEISURE,textile museum,citybehavex/category/unique_categories.csv,1,1,1,culture_events
theaters_and_performance_venues,LEISURE,theaters and performance venues,citybehavex/category/unique_categories.csv,5,5,1,culture_events
topic_concert_venue,LEISURE,topic concert venue,citybehavex/category/unique_categories.csv,637,637,1,culture_events
adult_education,STUDIES,adult education,citybehavex/category/unique_categories.csv,279,279,1,education
art_school,STUDIES,art school,citybehavex/category/unique_categories.csv,295,295,1,education
boxing_class,STUDIES,boxing class,citybehavex/category/unique_categories.csv,117,117,0,education
circus_school,STUDIES,circus school,citybehavex/category/unique_categories.csv,1,1,1,education
college_university,STUDIES,college university,citybehavex/category/unique_categories.csv,1679,1679,0,education
cooking_school,STUDIES,cooking school,citybehavex/category/unique_categories.csv,100,100,1,education
cosmetology_school,STUDIES,cosmetology school,citybehavex/category/unique_categories.csv,66,66,1,education
cycling_classes,STUDIES,cycling classes,citybehavex/category/unique_categories.csv,21,21,0,education
dance_school,STUDIES,dance school,citybehavex/category/unique_categories.csv,739,739,1,education
day_care_preschool,STUDIES,day care preschool,citybehavex/category/unique_categories.csv,317,317,1,education
driving_school,STUDIES,driving school,citybehavex/category/unique_categories.csv,1535,1535,1,education
education,STUDIES,education,citybehavex/category/unique_categories.csv,1723,1723,1,education
educational_camp,STUDIES,educational camp,citybehavex/category/unique_categories.csv,7,7,1,education
educational_research_institute,STUDIES,educational research institute,citybehavex/category/unique_categories.csv,69,69,1,education
