aligner,teacher,sample_size,epochs,n_train,n_test,mae,rmse,spearman,kendall_tau,calibration_mae
activity,mistral,100,1,80,20,0.27464320540428167,0.30746462864883417,0.11065704297209211,0.07298074900829352,0.12936122775077818
activity,mistral,100,2,80,20,0.3053776017576456,0.3969862952758649,0.27778733546097606,0.1964866319454056,0.27963254012167454
activity,mistral,100,3,80,20,0.24164304077625273,0.2996311244176063,0.2716821192969986,0.18525882440566815,0.13809076607227325
activity,mistral,100,4,80,20,0.2557401688396931,0.3119565360268429,0.028999776778893108,0.03929732638908112,0.18054290547966956
activity,mistral,100,5,80,20,0.20480442598462106,0.26790498879115143,0.4082863309659951,0.3087647073427803,0.1505801583826542
activity,mistral,100,6,80,20,0.22225825816392897,0.2747191489555834,0.32128700062931576,0.25262566964409294,0.07929247349500655
activity,mistral,100,7,80,20,0.1779190195351839,0.23673302444928024,0.47620686079024466,0.36490374504146755,0.117002931907773
activity,mistral,100,8,80,20,0.18756323158740998,0.24253419001451001,0.49223305322068567,0.376131552581205,0.10882036864757542
activity,mistral,100,9,80,20,0.1917723435908556,0.2463475650824246,0.49223305322068567,0.36490374504146755,0.0935791785269976
activity,mistral,100,10,80,20,0.22870496466755869,0.27959562187566706,0.3724181860026273,0.25262566964409294,0.16662364497780802
activity,mistral,1000,1,800,200,0.13278973524272442,0.2032829555705904,0.6585628079270863,0.5283367719917893,0.058718674644827835
activity,mistral,1000,2,800,200,0.12850529544055464,0.19865368636164485,0.7125632097993403,0.5742985485371646,0.05314062723517421
activity,mistral,1000,3,800,200,0.1308154983818531,0.19091708515111266,0.6961606252453509,0.5697135537966284,0.04903824926912783
activity,mistral,1000,4,800,200,0.12341267888247968,0.19696384251493576,0.6979297803891286,0.5760878147773738,0.05927934767305852
activity,mistral,1000,5,800,200,0.11719044474512341,0.1769507164934933,0.7612776931493632,0.6243980032630237,0.04526545853167772
